inst#,actual,predicted,error,distribution,,
1,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
2,3:Iris-virginica,3:Iris-virginica,,0,0.031,*0.969
3,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
4,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
5,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.996,0.004
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.996,0.004
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.996,0.004
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.996,0.004
15,2:Iris-versicolor,3:Iris-virginica,+,0,0.112,*0.888
1,3:Iris-virginica,3:Iris-virginica,,0,0.002,*0.998
2,3:Iris-virginica,3:Iris-virginica,,0,0.004,*0.996
3,3:Iris-virginica,3:Iris-virginica,,0,0.002,*0.998
4,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
5,3:Iris-virginica,3:Iris-virginica,,0,0.002,*0.998
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.993,0.007
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.997,0.003
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
14,2:Iris-versicolor,2:Iris-versicolor,,0.001,*0.996,0.002
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
1,3:Iris-virginica,3:Iris-virginica,,0,0.004,*0.996
2,3:Iris-virginica,3:Iris-virginica,,0,0.004,*0.996
3,3:Iris-virginica,3:Iris-virginica,,0,0.004,*0.996
4,3:Iris-virginica,3:Iris-virginica,,0,0.004,*0.996
5,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.994,0.006
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.994,0.006
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.994,0.006
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.994,0.006
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.994,0.006
1,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
2,3:Iris-virginica,3:Iris-virginica,,0,0.008,*0.992
3,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
4,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
5,3:Iris-virginica,3:Iris-virginica,,0,0.008,*0.992
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*0.999,0.001,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.997,0.003
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.997,0.003
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.99,0.01
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.99,0.01
1,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
2,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
3,3:Iris-virginica,3:Iris-virginica,,0,0.415,*0.585
4,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
5,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.994,0.006
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
13,2:Iris-versicolor,3:Iris-virginica,+,0,0.002,*0.998
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.994,0.006
1,3:Iris-virginica,2:Iris-versicolor,+,0,*0.705,0.295
2,3:Iris-virginica,3:Iris-virginica,,0,0.015,*0.985
3,3:Iris-virginica,3:Iris-virginica,,0,0.003,*0.997
4,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
5,3:Iris-virginica,3:Iris-virginica,,0,0.426,*0.574
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.972,0.028
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.998,0.002
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.995,0.005
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.995,0.005
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0
1,3:Iris-virginica,3:Iris-virginica,,0,0.005,*0.995
2,3:Iris-virginica,2:Iris-versicolor,+,0,*1,0
3,3:Iris-virginica,3:Iris-virginica,,0,0.005,*0.995
4,3:Iris-virginica,3:Iris-virginica,,0,0.005,*0.995
5,3:Iris-virginica,3:Iris-virginica,,0,0.005,*0.995
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
15,2:Iris-versicolor,3:Iris-virginica,+,0,0.286,*0.714
1,3:Iris-virginica,3:Iris-virginica,,0,0,*1
